id,title,date,tags,sorting,text,image
f52bf-dy392,Les ressortissants américains confinés à Mytho,"October 4, 1943",internment_lists,10,"The attached datasets contain the names of 32 American citizens interned in the Civilian Internment Camp in Mytho, some 70 kilometres outside of Saigon. After the attack on Pearl Harbour, the Japanese Military pressured the French Administration in Indochina to intern the allied civilians in the colony. The list was compiled by the Swiss Consul in Saigon, Hans Hirsbrunner and was sent to the American delegation in early October 1943. It contains additional information about persons wishing to be repatriated to the United States on board the SS Teia Maru, which sailed from Saigon on 30th September 1943. The original documents are now held at the Swiss Federal Archives in Bern. This sub-collection has provided the Divisive Power of Citizenship and Loyalty (DPCL) project with one of its most valuable datasets to date—supporting investigation of French citizens in French Indochina during World War II.

Multiple datasets generated from the source material, including transcriptions of person entries (names, dates of birth and death where available, profession and often location, remarks and operating unit) and structured person instance data derived from them are provided. Key historic person instance information (appearances in documents), serialized as JSON according to a formal schema is available, together with the JSON Schema itself. This is intended for use by external applications, and can also be searched interactively using a DPCL presentation website (see below) which explains the datasets further. In contrast to transcription data, which represents the printed and hand-written source material, and is often organized inconsistently, the historic person instance data provided here enables reliable searching across multiple archival sources. The historic person instance JSON is lightweight to enable scalability across large numbers of sub-collections/archives: it does not contain all of the information sometimes transcribed, such as remarks and military operating unit. However it does provide IIIF canvas IDs, connecting the person instance to the page in the source document where it originally occurred.

Where annotations can be generated from transcriptions they are provided as Web Annotation Data Model (WADM) annotation collections serialized as JSON, which are linked to source documents via PIDs. The annotation data can be used independently with the IIIF service provided here, to connect person instances interactively to their occurrence in the source documents. Provided principally for analysis preservation and verification purposes, the transcription data is less suitable for automated searching than the historic person instance JSON (above).

These datasets are also deposited in the Zenodo global catch-all repository as record DOI: 10.5281/zenodo.6813785.

A project website at https://www.divisive-power.org/ offers case studies well as search facilities which have access to all of the DPCL datasets, and additionally to other Divisive Power of Citizenship datasets.

This work is funded by Swiss National Science Foundation grant 100011_184860/1 ""Divisive Power of Citizenship""",f52bf-dy392.png
qkbtv-2h792,Membres du groupe Ragot,"February 6, 1951",résistance,26,"The attached datasets the personal information of the members or associates of the résistance network centred around Colonel Ragot. The group was mainly oriented against the resistance towards a possible Japanese attack on Indochina. However, it also built a liaison function with organisations based in Calcutta in 1944. The personal information was extracted from a Witness Account written by Commandant Tavarez. The information was extracted from the text on the one hand and lists embedded in the account on the other. Original documents are now held at the Archives nationales Pierrefitte-sur-Seine, were compiled on the 6th of February 1951.

Multiple datasets generated from the source material, including transcriptions of person entries (names, dates of birth and death where available, profession and often location, remarks and operating unit) and structured person instance data derived from them are provided. Key historic person instance information (appearances in documents), serialized as JSON according to a formal schema is available, together with the JSON Schema itself. This is intended for use by external applications, and can also be searched interactively using a DPCL presentation website (see below) which explains the datasets further. In contrast to transcription data, which represents the printed and hand-written source material, and is often organized inconsistently, the historic person instance data provided here enables reliable searching across multiple archival sources. The historic person instance JSON is lightweight to enable scalability across large numbers of sub-collections/archives: it does not contain all of the information sometimes transcribed, such as remarks and military operating unit. However it does provide IIIF canvas IDs, connecting the person instance to the page in the source document where it originally occurred.

Where annotations can be generated from transcriptions they are provided as Web Annotation Data Model (WADM) annotation collections serialized as JSON, which are linked to source documents via PIDs. The annotation data can be used independently with the IIIF service provided here, to connect person instances interactively to their occurrence in the source documents. Provided principally for analysis preservation and verification purposes, the transcription data is less suitable for automated searching than the historic person instance JSON (above).

These datasets are also deposited in the Zenodo global catch-all repository as record DOI: 10.5281/zenodo.6813815.

A project website at https://www.divisive-power.org/ offers case studies well as search facilities which have access to all of the DPCL datasets, and additionally to other Divisive Power of Citizenship datasets.

This work is funded by Swiss National Science Foundation grant 100011_184860/1 ""Divisive Power of Citizenship""",qkbtv-2h792.png
rs0tg-phg66,Légion française des combattants et des volontaires de la Révolution nationale Cochinchine,"December 8, 1942",LFCVRN,0,"This record relates to approximately 3,000 members of the Union of the so-called ""Légion française des combattants et des volontaires de la Révolution nationale"" in Cochinchine, South Vietnam. Original documents now held at the Archives Nationales d'Outre Mer—Mairie d'Aix-en-Provence, were compiled on the 8th of December 1942, and the list of persons is marked as complete. Admissions to the Légion after that date are not included. The Légion, which was established by Philippe Pétain in August 1940, combined the existing Veteran's organization. By November 1941, admission to the Légion was opened for non-combatants as well. It served as a means to propagate Vichy Ideologies throughout the empire. In the Divisive Power of Citizenship and Loyalty (DPCL) project, this sub-collection has provided one of the most useful datasets for helping to identify and trace members of the population in French Indochina during World War 2.

Multiple datasets generated from the source material, including transcriptions of person entries (names, dates of birth and death where available, profession and often location, remarks and operating unit) and structured person instance data derived from them are provided. Key historic person instance information (appearances in documents), serialized as JSON according to a formal schema is available, together with the JSON Schema itself. This is intended for use by external applications, and can also be searched interactively using a DPCL presentation website (see below) which explains the datasets further. In contrast to transcription data, which represents the printed and hand-written source material, and is often organized inconsistently, the historic person instance data provided here enables reliable searching across multiple archival sources. The historic person instance JSON is lightweight to enable scalability across large numbers of sub-collections/archives: it does not contain all of the information sometimes transcribed, such as remarks and military operating unit. However it does provide IIIF canvas IDs, connecting the person instance to the page in the source document where it originally occurred.

Where annotations can be generated from transcriptions they are provided as Web Annotation Data Model (WADM) annotation collections serialized as JSON, which are linked to source documents via PIDs. The annotation data can be used independently with the IIIF service provided here, to connect person instances interactively to their occurrence in the source documents. Provided principally for analysis preservation and verification purposes, the transcription data is less suitable for automated searching than the historic person instance JSON (above).

These datasets are also deposited in the Zenodo global catch-all repository as record DOI: 10.5281/zenodo.7064971, 

A project website at https://www.divisive-power.org/ offers case studies well as search facilities which have access to all of the DPCL datasets, and additionally to other Divisive Power of Citizenship datasets.

This work is funded by Swiss National Science Foundation grant 100011_184860/1 ""Divisive Power of Citizenship""",rs0tg-phg66.png
jmmzt-4c982,Séquestre des bien allemands Banque d'Indochine,"December 31, 1941",confiscation,45,"With the declaration of war against Germany in September 1939, the French authorities started confiscating goods belonging to now enemy citizens and companies. With the capitulation of France in June 1940, these confiscations had to be reversed, and the dataset contains that list of demands. It deals explicitly with the confiscations made by the Banque de l'Indochine. The attached datasets contain the records of these confiscations, made originally by the Banque de l'Indochine. Original documents now held at the Archives Nationales d'Outre Mer - Mairie d'Aix-en-Provence, compiled on the 31st of December 1941.

Multiple datasets generated from the source material, including transcriptions of person entries (names, dates of birth and death where available, profession and often location, remarks and operating unit) and structured person instance data derived from them are provided. Key historic person instance information (appearances in documents), serialized as JSON according to a formal schema is available, together with the JSON Schema itself. This is intended for use by external applications, and can also be searched interactively using a DPCL presentation website (see below) which explains the datasets further. In contrast to transcription data, which represents the printed and hand-written source material, and is often organized inconsistently, the historic person instance data provided here enables reliable searching across multiple archival sources. The historic person instance JSON is lightweight to enable scalability across large numbers of sub-collections/archives: it does not contain all of the information sometimes transcribed, such as remarks and military operating unit. However it does provide IIIF canvas IDs, connecting the person instance to the page in the source document where it originally occurred.

Where annotations can be generated from transcriptions they are provided as Web Annotation Data Model (WADM) annotation collections serialized as JSON, which are linked to source documents via PIDs. The annotation data can be used independently with the IIIF service provided here, to connect person instances interactively to their occurrence in the source documents. Provided principally for analysis preservation and verification purposes, the transcription data is less suitable for automated searching than the historic person instance JSON (above).

These datasets are also deposited in the Zenodo global catch-all repository as record DOI: 10.5281/zenodo.6813813.

A project website at https://www.divisive-power.org/ offers case studies well as search facilities which have access to all of the DPCL datasets, and additionally to other Divisive Power of Citizenship datasets.

This work is funded by Swiss National Science Foundation grant 100011_184860/1 ""Divisive Power of Citizenship""",jmmzt-4c982.png
x4a3k-mzw47,Activités indochinoises au service des Nippons,"April 02, 1949",legal_purges,33,"The attached dataset contains information about 30 French individuals and French companies who were trading with Japanese businesses and the army during the war. In addition, a commentary on the business relationship and the surrounding circumstances are added to the individual record. Original documents are now held at the Archives nationales Pierrefitte-sur-Seine, were compiled on the 2nd of April 1949.

Multiple datasets generated from the source material, including transcriptions of person entries (names, dates of birth and death where available, profession and often location, remarks and operating unit) and structured person instance data derived from them are provided. Key historic person instance information (appearances in documents), serialized as JSON according to a formal schema is available, together with the JSON Schema itself. This is intended for use by external applications, and can also be searched interactively using a DPCL presentation website (see below) which explains the datasets further. In contrast to transcription data, which represents the printed and hand-written source material, and is often organized inconsistently, the historic person instance data provided here enables reliable searching across multiple archival sources. The historic person instance JSON is lightweight to enable scalability across large numbers of sub-collections/archives: it does not contain all of the information sometimes transcribed, such as remarks and military operating unit. However it does provide IIIF canvas IDs, connecting the person instance to the page in the source document where it originally occurred.

Where annotations can be generated from transcriptions they are provided as Web Annotation Data Model (WADM) annotation collections serialized as JSON, which are linked to source documents via PIDs. The annotation data can be used independently with the IIIF service provided here, to connect person instances interactively to their occurrence in the source documents. Provided principally for analysis preservation and verification purposes, the transcription data is less suitable for automated searching than the historic person instance JSON (above).

These datasets are also deposited in the Zenodo global catch-all repository as record DOI: 10.5281/zenodo.6815058.

A project website at https://www.divisive-power.org/ offers case studies well as search facilities which have access to all of the DPCL datasets, and additionally to other Divisive Power of Citizenship datasets.

This work is funded by Swiss National Science Foundation grant 100011_184860/1 ""Divisive Power of Citizenship""",x4a3k-mzw47.png
x6avj-54t26,Agitateurs nationalistes et pseudo-religieux,"July 19, 1948",internment_lists,17,"The attached dataset contains information about 39 individuals who were interned for their activities as nationalistic agitators and members of religious sects. This data was extracted from archival sources stored on microfilm in the context of the legal investigation against Admiral Jean Decoux, Governor-General of French Indochina during the Second World War, in front of the Haute Cour de Justice. Original documents are now held at the Archives nationales Pierrefitte-sur-Seine, were compiled on the 19th of July 1948.

Multiple datasets generated from the source material, including transcriptions of person entries (names, dates of birth and death where available, profession and often location, remarks and operating unit) and structured person instance data derived from them are provided. Key historic person instance information (appearances in documents), serialized as JSON according to a formal schema is available, together with the JSON Schema itself. This is intended for use by external applications, and can also be searched interactively using a DPCL presentation website (see below) which explains the datasets further. In contrast to transcription data, which represents the printed and hand-written source material, and is often organized inconsistently, the historic person instance data provided here enables reliable searching across multiple archival sources. The historic person instance JSON is lightweight to enable scalability across large numbers of sub-collections/archives: it does not contain all of the information sometimes transcribed, such as remarks and military operating unit. However it does provide IIIF canvas IDs, connecting the person instance to the page in the source document where it originally occurred.

Where annotations can be generated from transcriptions they are provided as Web Annotation Data Model (WADM) annotation collections serialized as JSON, which are linked to source documents via PIDs. The annotation data can be used independently with the IIIF service provided here, to connect person instances interactively to their occurrence in the source documents. Provided principally for analysis preservation and verification purposes, the transcription data is less suitable for automated searching than the historic person instance JSON (above).

These datasets are also deposited in the Zenodo global catch-all repository as record DOI: 10.5281/zenodo.6815066.

A project website at https://www.divisive-power.org/ offers case studies well as search facilities which have access to all of the DPCL datasets, and additionally to other Divisive Power of Citizenship datasets.

This work is funded by Swiss National Science Foundation grant 100011_184860/1 ""Divisive Power of Citizenship""",x6avj-54t26.png
kvhes-sf940,Camp d'internement en Indochine,"April 13, 1950",internment_lists,16,"The first attached dataset (Camp_d'internement_en_Indochine_persons) contains information about 36 individuals who were interned often after the Japanese coup d'État and their respective Internment camps. The second attached dataset (Camp_d'internement_en_Indochine_camps) includes information on the internment camps. Not transcript, but within the source material are also further descriptions of the location and regime of the individual sites. Original documents now held at the Archives Nationales d'Outre Mer - Mairie d'Aix-en-Provence, were compiled on the 13th of April 1950.

Multiple datasets generated from the source material, including transcriptions of person entries (names, dates of birth and death where available, profession and often location, remarks and operating unit) and structured person instance data derived from them are provided. Key historic person instance information (appearances in documents), serialized as JSON according to a formal schema is available, together with the JSON Schema itself. This is intended for use by external applications, and can also be searched interactively using a DPCL presentation website (see below) which explains the datasets further. In contrast to transcription data, which represents the printed and hand-written source material, and is often organized inconsistently, the historic person instance data provided here enables reliable searching across multiple archival sources. The historic person instance JSON is lightweight to enable scalability across large numbers of sub-collections/archives: it does not contain all of the information sometimes transcribed, such as remarks and military operating unit. However it does provide IIIF canvas IDs, connecting the person instance to the page in the source document where it originally occurred.

Where annotations can be generated from transcriptions they are provided as Web Annotation Data Model (WADM) annotation collections serialized as JSON, which are linked to source documents via PIDs. The annotation data can be used independently with the IIIF service provided here, to connect person instances interactively to their occurrence in the source documents. Provided principally for analysis preservation and verification purposes, the transcription data is less suitable for automated searching than the historic person instance JSON (above).

These datasets are also deposited in the Zenodo global catch-all repository as record DOI: 10.5281/zenodo.6815070.

A project website at https://www.divisive-power.org/ offers case studies well as search facilities which have access to all of the DPCL datasets, and additionally to other Divisive Power of Citizenship datasets.

This work is funded by Swiss National Science Foundation grant 100011_184860/1 ""Divisive Power of Citizenship""",kvhes-sf940.png
b71jt-y3w84,Commission d'épuration du personnel français des administrations publiques,1945,legal_purges,29,"Very little secured information could be gathered about this list. Created in December 1945, this record contains information about these French public personnel, who were considered suspects in the context of the legal purges (Épuration légale) after the war. The source includes information on the individual's name, grade and current position. The list only contains the person's name. Original documents now held at the Archives Nationales d'Outre Mer - Mairie d'Aix-en-Provence, were compiled in 1945.

Multiple datasets generated from the source material, including transcriptions of person entries (names, dates of birth and death where available, profession and often location, remarks and operating unit) and structured person instance data derived from them are provided. Key historic person instance information (appearances in documents), serialized as JSON according to a formal schema is available, together with the JSON Schema itself. This is intended for use by external applications, and can also be searched interactively using a DPCL presentation website (see below) which explains the datasets further. In contrast to transcription data, which represents the printed and hand-written source material, and is often organized inconsistently, the historic person instance data provided here enables reliable searching across multiple archival sources. The historic person instance JSON is lightweight to enable scalability across large numbers of sub-collections/archives: it does not contain all of the information sometimes transcribed, such as remarks and military operating unit. However it does provide IIIF canvas IDs, connecting the person instance to the page in the source document where it originally occurred.

Where annotations can be generated from transcriptions they are provided as Web Annotation Data Model (WADM) annotation collections serialized as JSON, which are linked to source documents via PIDs. The annotation data can be used independently with the IIIF service provided here, to connect person instances interactively to their occurrence in the source documents. Provided principally for analysis preservation and verification purposes, the transcription data is less suitable for automated searching than the historic person instance JSON (above).

These datasets are also deposited in the Zenodo global catch-all repository as record DOI: 10.5281/zenodo.6815073.

A project website at https://www.divisive-power.org/ offers case studies well as search facilities which have access to all of the DPCL datasets, and additionally to other Divisive Power of Citizenship datasets.

This work is funded by Swiss National Science Foundation grant 100011_184860/1 ""Divisive Power of Citizenship""",b71jt-y3w84.png
18zwn-b3510,Commission nationale des déportés et internés politiques ou résistants d'Indochine pour la guerre 1939 – 1945,1950/1968,internment_lists,19,"After the Second World War, these persons who were interned during the war could apply for the status of déportés ou d'internés politiques or déporté ou d'interné resistant, respectively. In addition, the status would entail entitlement towards France for pension and assistance with medical costs in relation to the internment. However, after the Japanese Coup d'État of 9 March 1945, nearly all French citizens experienced internment or house arrest, often only for a few days. Therefore, it was not feasible to award every person one of these statuses and a Commission was set up to grant the status. The attached datasets contain the members of the commission and the applicants, respectively. Next to the applicants, the advice given by the commission was also transcribed. The dataset describing the commission contains a total of 397 entries, of which many are duplicates. The commission members did usually attend several meetings and were recorded every time. The dataset describing the applicant contains 1260 entries, some of which are duplicates, although the majority are not. No distinction has been made between the applicants or members of the commission concerning the status of déportés ou d'internés politiques or déporté ou d'interné resistant. The different status can be derived from the source location or the information accompanying the individual meeting. The list contains the person's name and the recommendation of the commission. Original documents are now held at the Archives nationales Pierrefitte-sur-Seine, the last document was created on the 27th of June 1968.

Multiple datasets generated from the source material, including transcriptions of person entries (names, dates of birth and death where available, profession and often location, remarks and operating unit) and structured person instance data derived from them are provided. Key historic person instance information (appearances in documents), serialized as JSON according to a formal schema is available, together with the JSON Schema itself. This is intended for use by external applications, and can also be searched interactively using a DPCL presentation website (see below) which explains the datasets further. In contrast to transcription data, which represents the printed and hand-written source material, and is often organized inconsistently, the historic person instance data provided here enables reliable searching across multiple archival sources. The historic person instance JSON is lightweight to enable scalability across large numbers of sub-collections/archives: it does not contain all of the information sometimes transcribed, such as remarks and military operating unit. However it does provide IIIF canvas IDs, connecting the person instance to the page in the source document where it originally occurred.

Where annotations can be generated from transcriptions they are provided as Web Annotation Data Model (WADM) annotation collections serialized as JSON, which are linked to source documents via PIDs. The annotation data can be used independently with the IIIF service provided here, to connect person instances interactively to their occurrence in the source documents. Provided principally for analysis preservation and verification purposes, the transcription data is less suitable for automated searching than the historic person instance JSON (above).

These datasets are also deposited in the Zenodo global catch-all repository as record DOI: 10.5281/zenodo.6815079.

A project website at https://www.divisive-power.org/ offers case studies well as search facilities which have access to all of the DPCL datasets, and additionally to other Divisive Power of Citizenship datasets.

This work is funded by Swiss National Science Foundation grant 100011_184860/1 ""Divisive Power of Citizenship""",18zwn-b3510.png
g0tny-qa733,Composition des Tribunaux des Provinces de Cochinchine après le 09.03.1945,1945,list_of_officials,40,"The attached dataset contains information about 190 Vietnamese who replaced the French Personnel at the tribunals in Cochinchina Province. The Personnel was needed after most of the previous European staff was forced to or volunteered to leave their positions after the Japanese Coup d'État of 9 March 1945. The list contains the person's name, their position, and the tribunal they were attached to. Original documents now held at the Archives Nationales d'Outre Mer - Mairie d'Aix-en-Provence, were compiled in 1945.

Multiple datasets generated from the source material, including transcriptions of person entries (names, dates of birth and death where available, profession and often location, remarks and operating unit) and structured person instance data derived from them are provided. Key historic person instance information (appearances in documents), serialized as JSON according to a formal schema is available, together with the JSON Schema itself. This is intended for use by external applications, and can also be searched interactively using a DPCL presentation website (see below) which explains the datasets further. In contrast to transcription data, which represents the printed and hand-written source material, and is often organized inconsistently, the historic person instance data provided here enables reliable searching across multiple archival sources. The historic person instance JSON is lightweight to enable scalability across large numbers of sub-collections/archives: it does not contain all of the information sometimes transcribed, such as remarks and military operating unit. However it does provide IIIF canvas IDs, connecting the person instance to the page in the source document where it originally occurred.

Where annotations can be generated from transcriptions they are provided as Web Annotation Data Model (WADM) annotation collections serialized as JSON, which are linked to source documents via PIDs. The annotation data can be used independently with the IIIF service provided here, to connect person instances interactively to their occurrence in the source documents. Provided principally for analysis preservation and verification purposes, the transcription data is less suitable for automated searching than the historic person instance JSON (above).

These datasets are also deposited in the Zenodo global catch-all repository as record DOI: 10.5281/zenodo.7064971,

A project website at https://www.divisive-power.org/ offers case studies well as search facilities which have access to all of the DPCL datasets, and additionally to other Divisive Power of Citizenship datasets.

This work is funded by Swiss National Science Foundation grant 100011_184860/1 ""Divisive Power of Citizenship""",g0tny-qa733.png
